,precision,recall,f1-score,support
Negative,0.9983311081441922,0.997,0.9976651100733822,3000.0
Positive,0.9970039946737683,0.9983333333333333,0.9976682211858761,3000.0
accuracy,0.9976666666666667,0.9976666666666667,0.9976666666666667,0.9976666666666667
macro avg,0.9976675514089803,0.9976666666666667,0.9976666656296291,6000.0
weighted avg,0.9976675514089802,0.9976666666666667,0.9976666656296291,6000.0
