,precision,recall,f1-score,support
Negative,0.9993324432576769,0.998,0.9986657771847899,3000.0
Positive,0.9980026631158455,0.9993333333333333,0.9986675549633578,3000.0
accuracy,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667
macro avg,0.9986675531867613,0.9986666666666666,0.9986666660740738,6000.0
weighted avg,0.9986675531867614,0.9986666666666667,0.9986666660740738,6000.0
