Model,Test Accuracy,Test Loss,Macro Precision,Macro Recall,Macro F1 Score,Total Errors
Custom CNN,0.9976666569709778,0.008041955530643463,0.9976675514089803,0.9976666666666667,0.9976666656296291,14
MobileNetV2 Transfer Learning,0.9986666440963745,0.0033351958263665438,0.9986675531867613,0.9986666666666666,0.9986666660740738,8
